Sl. No,UdiseCode,SchName,School Management,School Category ,District Name,Block Name,Cluster Name,Village Name,SchLocation,Schtype,"Building Status (1-Private Owned, 2-Rented, 3-Government Owned, 4-Government School in a Rent free building, 5-NO
Building (Running in Open Place), 6-School Running in other Department Building)",Total Number of Building Blocks of the School,"Type of Boundary Wall (1-Pucca, 2-Pucca but broken, 3-Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial,
8-Under Construction)",Dilapidated Building,Total Classrooms in Dilapidated Condition,Halls Avaible,Medical Facilities (Medical Rooms) Available,Store Room Available,"Minority managed school (1-Yes, 2-No)","Boundary wall type (1-Pucca, 2-Pucca but broken, 3- Barbed wire fencing, 4-Hedges, 5-No boundary walls, 6-Others, 7-Partial, 8-Under Construction)","Fire extinguisher available (1-Yes, 2-No)","Whether receiving free uniform (1-Yes, 2-No)","Whether receiving free Textbook for primary (1-Yes, 2-No)","Whether receiving free Textbook for upper Primary (1-Yes, 2-No)",Girls Activity Room Available ,Electricity connection Available,Ramp Available,"If yes, specify Ramp with Handrail or without Handrail",Sport Equiptment,Separate Room for Head Teacher/Principal Available,Staffroom For Teacher,Staff Quarters (Including Residential Quarters for Head Teacher/Principal and Asst. Head Teacher/Vice Principal),Total no of Class Rooms use for Instructional Purpose ,No. of classroom under construction,No. of Pucca classroom for in good condition,No. of Pucca classroom in  for major repair,No. of Pucca classroom in  for minor repair,No. of Partially Pucca classroom for  in good condition,No. of Partially Pucca classroom for  for minor repair,No. of Partially Pucca classroom for  for major repair,No. of Kuccha classroom for  in good condition,No. of Kuccha classroom for  for minor repairing,No. of Kuccha classroom for  for major repairing,Tent,Land is Available for Expansion of School Facilities,Boy toilet available,No of toilet for Boys,No of  Functional toilet for Boys,No of CWSN(Toilet)  for Boys,No of Functional CWSN (Toilet) for Boys,Girls toilet available,No of toilet for Girls,No of Functional toilet for Girls,No of CWSN(Toilet)  for Girls,No of Functional CWSN (Toilet) for Girls,Handwash facility,Hand washing Facility near Toilet,Hand washing Facility after Meals,Drinking Water Availability,Drinking Water Functional,Are there any rainwater harvesting structures implemented within the school campus? ,Has the school availed facilities provided under the Jal Jeevan Mission (JJM)?,Solar Panel ,Is your school equipped with Solar Panel for energy generation?,"         If Yes, specify whether they are  functional or not functional","Whether your school having Sanitary Pad vending Machine - For schools having Secondary and Higher Secondary Sections (1- Yes, 2- No, 3- Yes, but not functional, 4- NO, Pads available with Class Teachers, 9 Not Applicable)",Whether your school  having functional incinerator in girls toilets - For schools having Secondary and Higher Secondary Sections,Library Facility,Does the school have a designated Library room?,Does the School have book bank facility,"If yes, No of books are available",No of Librarians,No of Computers Available in the Library Room,Reading Corner Available,Power Backup Available ,Furniture Available,Playground Available,Separate Common Room For Girls ,Co-Curricular Activity Room/Arts And Crafts Room ,Integrated Science Laboratory for Secondary Details ,No of Room Available,Maths Lab for Secondary Details ,No of Room Available ,Physics Laboratory for Higher Secondary ,No of Room Available ,Chemistry Laboratory for Higher Secondary ,No of Room Available ,Biology Laboratory  for Higher Secondary,No of Room Available ,Library Room,No of Books avaialble,Computer Room ,No of computer ,Tinkering Lab,"Internet Facility available in school (1-Yes, 2-No)","Smart classroom available in school (1-Yes, 2-No)",No of Smart classroom,ICT Lab Available,ICTLab Functional, Total Number of Desktops/Laptops ,Total Number of functional desktops,Total Number of functional Laptops,Total Number of functional Tablets,Total Number of functional digital boards,Total Number of functional projectors,Hostel Facilities for Boys,Does the school have hostel facilities for Boys?,Intake capacity,No of students are currently residing in the hostel,Hostel Facilities for Girls,Does the school have hostel facilities for Girls?,Intake capacity,No of students are currently residing in the hostel
7703,17040300302,MANAI GOVT. L.P.S,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Manai Incl Mawpun,Rural,Co-ed,3,1,1,0,0,,,,2,1,1,No,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,7,0,1,2,4,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7704,17040300303,SOHKHLUR L.P.S,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Manai Incl Mawpun,Rural,Co-ed,3,1,1,0,1,,,,2,1,1,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,1,1,0,0,0,0,1,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,"Yes, but not functional",No,,No,,,2,0,No,No,Yes,68,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7705,17040300306,MANAI SECONDARY SCHOOL,Government Aided,8 - Secondary Only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Manai Incl Mawpun,Rural,Co-ed,1,1,1,0,0,,,,2,1,1,No,N/A,N/A,No,Yes,Yes,Yes,No,No,No,No,4,0,4,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,15,Yes,2,2,0,Yes,Not Applicable,15,0,0,0,0,0,,No,,0,,No,,0
7706,17040300401,DOMTRAW GOVT L.P.S,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Domtraw,Rural,Co-ed,3,2,5,0,2,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,3,0,0,0,0,1,0,2,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7707,17040300504,NONGKTIEH CH UPS,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,LAWKYNTER CRC-1707010006,Nongktieh Tharia,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,3,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7708,17040300601,LADMIRI LPS,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Ladmiri,Rural,Co-ed,4,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7709,17040300701,MAWSAWA MANAI L.P.S,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Mawsawa,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,3,0,0,0,0,0,3,0,0,0,0,0,Yes,Yes,2,2,0,0,Yes,2,2,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,Yes,60,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7710,17040300703,DONBOSCO MAWSAWA RCUPS,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Mawsawa,Rural,Co-ed,4,1,1,0,0,,,,2,1,1,No,N/A,No,No,Yes,Yes,Yes,No,No,Yes,No,3,0,0,0,0,0,3,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,2,Not Applicable,2,2,0,No,Not Applicable,2,0,0,0,0,0,,No,,0,,No,,0
7711,17040300901,DEWSAW NONGTHLIEW GOVT. LPS,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Dewsaw,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,2,0,0,0,0,1,1,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7712,17040301001, SHARUM NONGTHLIEW LPS,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Nongthliew Sharum,Rural,Co-ed,1,1,5,0,1,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,4,0,0,0,0,0,4,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,"Yes, but not functional",No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7713,17040301101,KURBAH WAR LPS,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010116,Kurbah War,Rural,Co-ed,3,1,1,1,0,,,,2,1,1,No,Yes,N/A,No,No,Yes,No,No,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,Yes,Yes,1,0,0,0,Yes,1,0,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,Yes,193,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7714,17040301201,KYNSEW GOVT. LPS,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Kynsew,Rural,Co-ed,4,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,4,0,0,0,0,2,1,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,Yes,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7715,17040301202,KYNSEW UPS,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Kynsew,Rural,Co-ed,4,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,Yes,Yes,No,No,No,Yes,No,3,0,0,0,0,3,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,3,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7716,17040301401,NONGTHLIEW GOVT. L.P.S,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongthliew,Rural,Co-ed,6,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,Yes,No,No,3,0,0,0,0,0,1,2,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7717,17040301404,ST MARY'S RCUPS,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongthliew,Rural,Co-ed,6,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,No,Yes,Yes,Yes,No,No,No,3,1,0,0,3,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,Yes,,No,,,2,0,Yes,No,Yes,30,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,50,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7718,17040301405,NONGTHLIEW UPS- NONGTHLIEW,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongthliew,Rural,Co-ed,6,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,Yes,Yes,Yes,No,No,No,No,3,0,0,0,0,2,1,0,0,0,0,0,No,Yes,2,2,0,0,Yes,2,2,0,0,Yes,No,Yes,Yes,Yes,Yes,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7719,17040301408,KA PHAN NONGLAIT MEMO UPS,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongthliew,Rural,Co-ed,6,1,5,0,0,,,,2,5,1,No,N/A,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,3,0,0,0,0,2,1,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7720,17040301409,SENG KHASI LPS,Private Unaided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongthliew,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,Yes,No,5,0,0,0,0,0,0,5,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7721,17040301410,KA PHAN NONGLAIT MEMO LPS,Private Unaided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongthliew,Rural,Co-ed,1,1,7,0,0,,,,2,7,1,No,No,N/A,No,Yes,Yes,No,No,Yes,Yes,No,4,0,0,0,0,0,4,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,Yes,Yes,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7722,17040301412,NONGTHLIEW SECONDARY SCHOOL,Government Aided,8 - Secondary Only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongthliew,Rural,Co-ed,1,2,3,0,0,,,,2,3,1,Yes,N/A,N/A,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16,0,16,0,0,0,0,0,0,0,0,0,Yes,Yes,4,4,0,0,Yes,4,4,0,0,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,2,0,Yes,Yes,Yes,20,,,Yes,,Yes for all,No,No,Yes,Yes,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,10,Not Applicable,29,Yes,1,1,2,Yes,Yes,22,22,0,3,2,2,,No,,0,,No,,0
7723,17040301601,NONGRANG LAIT ARTED L.P.S,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Laitarted,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7724,17040301602,LAIT ARTED RCLP,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Laitarted,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,No,Yes,N/A,No,Yes,No,Not applicable,Yes,No,No,No,3,0,1,0,2,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7725,17040301701,PYRDA GOVT. LPS,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Pyrda,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,Yes,No,No,No,6,0,0,6,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,0,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,, No Furniture available,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7726,17040301702,PYRDA RCLPS,Government,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Pyrda,Rural,Co-ed,6,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,3,0,0,3,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7727,17040301703,PYRDA UPS,Government,4 - Upper Primary only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Pyrda,Rural,Co-ed,6,1,5,0,0,,,,2,5,1,Yes,N/A,Yes,No,"Yes, but not functional",No,Not applicable,No,Yes,Yes,No,3,0,0,0,0,0,3,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,No,No,No,,No,,,2,0,No,Yes,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Yes,0,Not Applicable,7,Not Applicable,2,2,0,No,Not Applicable,3,3,0,4,0,0,,No,,0,,No,,0
7728,17040301704,PYRDA NONGLYNDANG LPS,Private Unaided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Pyrda,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,3,0,0,0,0,0,0,0,0,3,0,0,No,No,0,0,0,0,No,0,0,0,0,No,No,No,No,No,No,,No,,,2,0,No,No,No,0,,,No,, No Furniture available,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7729,17040301903,ST. FAUSTINA L.P.SCHOOL NONGLYPUT,Private Unaided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Nongliput,Rural,Co-ed,1,1,5,0,0,,,,2,5,2,No,No,N/A,No,No,No,Not applicable,No,No,No,No,4,0,2,1,1,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7730,17040302001,NONGLYPUT LPS,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010006,Mynsian Nongliput,Rural,Co-ed,1,2,5,0,0,,,,2,5,1,No,Yes,N/A,No,No,Yes,Yes,No,No,No,No,2,0,0,0,0,0,0,2,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,1,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7731,17040302101,MAWIONG NONGTHLIEW LPS,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,UMTHLONG - NONGTHLIEW CRC-1707010116,Mawiong Nongliput,Rural,Co-ed,1,1,5,1,0,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,No,Yes,1,1,0,0,Yes,1,1,0,0,Yes,No,Yes,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Partial,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7732,17040302202,SOHJARANG LPS,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,SOHJARANG CRC-1707010006,Sohjarang,Rural,Co-ed,1,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,Yes,Yes,No,No,No,No,2,0,0,0,0,0,2,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7733,17040302303,Mawkhar Presbyterian Secondary School Sohmylleng,Private Unaided,6 - Pr. Up Pr. and Secondary Only,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,PYNDENGNONGBRI CRC-1707010006,Madansohmylleng,Rural,Co-ed,1,1,5,0,0,,,,1,5,2,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,13,0,13,0,0,0,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,2,2,0,0,Yes,Yes,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,No,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,1,No,2,2,0,No,Not Applicable,1,0,0,0,0,0,,No,,0,,No,,0
7734,17040302401,UMSAWLIA PRES LPS,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,SOHJARANG CRC-1707010006,Madansohmylleng,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,No,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,2,0,0,0,0,0,0,0,0,0,Yes,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,Yes,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
7735,17040302502,UMDIENGKHIED PRES LPS,Government Aided,1 - Primary,EASTERN WEST KHASI HILLS-1712,MAIRANG-170403,SOHJARANG CRC-1707010006,Umthlu Nongkhla,Rural,Co-ed,3,1,5,0,0,,,,2,5,1,Yes,Yes,N/A,No,No,No,Not applicable,No,No,No,No,2,0,0,0,0,2,0,0,0,0,0,0,No,Yes,1,1,0,0,Yes,1,1,0,0,No,No,No,Yes,Yes,No,,No,,,2,0,No,No,No,0,,,No,,Yes for all,No,No,No,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,No,0,Not Applicable,0,Not Applicable,2,2,0,No,Not Applicable,0,0,0,0,0,0,,No,,0,,No,,0
